name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Roubion les Buisses;https://www.roubion.com/;{'lat': '44.0886', 'long': '7.0602'};France;Provence-Alpes-Côte d’Azur;1920.0;500.0;30.0;7.0;19.0;150.0;1615336022
Solbergsbacken;https://solbergsbacken.se/;{'lat': '63.529', 'long': '17.991'};Sweden;Västernorrland;565.0;220.0;3.9;3.0;3.0;200.0;6005526623
Jaunpass – Boltigen;https://www.sportbahnen-jaunpass.ch/;{'lat': '46.615', 'long': '7.341'};Switzerland;Bern;1608.0;202.0;6.0;4.0;3.0;200.0;6414494051
Gurtis/Bazora;https://www.gurtis.info/;{'lat': '47.2200', 'long': '9.6333'};Austria;Feldkirch;1390.0;470.0;5.0;4.0;3.0;150.0;1554245564
Crissolo – Monviso;https://www.skiresort.info/ski-resort/crissolo-monviso/;{'lat': '44.6949', 'long': '7.1676'};Italy;Piedmont;1800.0;467.0;0.2;1.0;1.0;150.0;4362768769
Oedberg;https://oedberg.de/;{'lat': '47.7505', 'long': '11.7470'};Germany;Miesbach;970.0;170.0;2.0;3.0;2.0;150.0;8306159517
Ånstadblåheia;http://www.sortland-alpinklubb.no/;{'lat': '68.7108', 'long': '15.4162'};Norway;Nordland;435.0;260.0;2.5;1.0;2.0;300.0;4937841297
Rewild Ninja Snow Highland;https://rewild-ninja-snow-highland.com/;{'lat': '36.6511', 'long': '138.3155'};Japan;Nagano Prefecture;1545.0;155.0;10.5;2.0;3.0;300.0;8836327541
The Balsams;https://www.thebalsamsresort.com;{'lat': '44.8394', 'long': '-71.3512'};USA;New Hampshire;838.0;297.0;13.0;1.0;12.0;300.0;8692201589
Languard – Pontresina;https://www.engadin.ch/de/ski-snowboard/kleine-skigebiete/skilift-languard-pontresina/;{'lat': '46.4900', 'long': '9.9050'};Switzerland;Graubünden;1920.0;90.0;1.0;5.0;1.0;250.0;4840079032
West Mountain;https://westmountain.com/;{'lat': '43.3442', 'long': '-73.7444'};USA;New York;435.0;298.0;9.7;5.0;3.0;200.0;6921334066
L'Abbaye;https://www.myvalleedejoux.ch/;{'lat': '46.6598', 'long': '6.3203'};Switzerland;Vaud;1437.0;427.0;10.0;4.0;10.0;120.0;5063979224
Partenstein;https://www.skiclub-partenstein.de/;{'lat': '50.0528', 'long': '9.5075'};Germany;Main-Spessart;445.0;105.0;0.5;1.0;1.0;50.0;5114982464
Kolsåss Skisenter;https://kolsasbakken.no/;{'lat': '59.9541', 'long': '10.5317'};Norway;Viken;350.0;130.0;1.0;3.0;1.0;150.0;3204995182
Pany;https://www.skiliftpany.ch/;{'lat': '46.9265', 'long': '9.7747'};Switzerland;Graubünden;1550.0;220.0;5.0;2.0;3.0;250.0;6045231011
Hirugano Kogen;https://www.hiruganokogen.com/;{'lat': '35.931667', 'long': '136.873056'};Japan;Gifu Prefecture;1040.0;150.0;4.0;3.0;3.0;200.0;9703257516
Ballon d'Alsace;https://www.ballondalsace.fr/;{'lat': '47.8151', 'long': '6.8454'};France;Haut-Rhin;1231.0;421.0;5.0;11.0;3.0;150.0;8972846677
Embach – Hörndl;https://www.embach.at/erleben/winter/skifahren/;{'lat': '47.3050', 'long': '12.9770'};Austria;Zell am See;1296.0;284.0;3.0;2.0;2.0;150.0;7938551828
Ascutney Mountain;https://www.ascutneyoutdoors.org/winter/;{'lat': '43.4562', 'long': '-72.4648'};USA;Vermont;768.0;549.0;1.8;2.0;3.0;250.0;7507360879
Sternrodt;https://www.sternrodt-skilift.de/;{'lat': '51.3194', 'long': '8.5152'};Germany;Hochsauerlandkreis;789.0;199.0;1.5;3.0;3.0;120.0;3974978285
Eggberge;https://www.eggberge.ch/skilift/;{'lat': '46.8800', 'long': '8.6333'};Switzerland;Uri;1740.0;280.0;8.0;2.0;2.0;200.0;7387694944
Monesi di Triora;http://monesiski.it/;{'lat': '44.0424', 'long': '7.7800'};Italy;Liguria;2164.0;775.0;9.0;2.0;3.0;200.0;4641372481
Vångabacken;https://vangabacken.com/;{'lat': '56.1143', 'long': '14.4951'};Sweden;Skåne;162.0;132.0;1.3;3.0;3.0;50.0;1776507809
Argentera;https://www.facebook.com/argenteraski/;{'lat': '44.3718', 'long': '7.0735'};Italy;Piedmont;2480.0;850.0;20.0;4.0;3.0;250.0;1277245963
Mullsjö Alpin;https://mullsjoalpin.se/;{'lat': '57.9253', 'long': '13.8825'};Sweden;Jönköping;330.0;95.0;4.0;5.0;3.0;100.0;1454861310
Makinoiri Kogen;https://makinoiri.com/;{'lat': '36.8995', 'long': '138.4372'};Japan;Nagano Prefecture;865.0;244.0;3.0;3.0;3.0;300.0;9818114549
Ishizuchi;https://www.ishizuchi.com/;{'lat': '33.7671', 'long': '133.0812'};Japan;Ehime Prefecture;1383.0;120.0;1.3;5.0;3.0;200.0;5724234135
Jochgrimm;https://jochgrimm.com/;{'lat': '46.3804', 'long': '11.4676'};Italy;Trentino-Alto Adige/Südtirol;2223.0;385.0;7.0;4.0;3.0;160.0;1519678210
Hornlift – Fröhnd;https://www.sc-froehnd.de/der-skilift/;{'lat': '47.789', 'long': '7.907'};Germany;Lörrach;1000.0;300.0;2.8;1.0;3.0;120.0;8936550344
Børgefjellsenteret;https://www.facebook.com/Borgefjellsenteret/;{'lat': '64.8725', 'long': '13.3278'};Norway;Trøndelag;583.0;122.0;3.0;2.0;2.0;200.0;3311135161
Itsukamachi;http://www.itsukamachi.jp/;{'lat': '37.1576', 'long': '138.8793'};Japan;Niigata Prefecture;480.0;314.0;7.0;4.0;3.0;300.0;6718460289
Sellata;https://www.skisellata.it/;{'lat': '40.5067', 'long': '15.7648'};Italy;Basilicata;1724.0;349.0;4.0;3.0;3.0;150.0;5193663728
