name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Buchberg – Goldegg;https://goldeggerskilifte.at/;{'lat': '47.3421', 'long': '13.1142'};Austria;St. Johann im Pongau;1225.0;393.0;5.0;3.0;3.0;150.0;5313530322
Gruvbacken;http://www.gruvbacken.se;{'lat': '63.4375', 'long': '13.285'};Sweden;Jämtland;680.0;220.0;2.0;1.0;3.0;250.0;6960607627
La Berra;https://www.laberra.ch/;{'lat': '46.6713', 'long': '7.1530'};Switzerland;Fribourg;1636.0;596.0;25.0;6.0;3.0;250.0;5420867827
Sunne;https://sunneskibike.se/;{'lat': '59.8464', 'long': '13.1337'};Sweden;Värmland;390.0;265.0;7.0;7.0;3.0;120.0;3190014509
Manning Park;https://manningpark.com/;{'lat': '49.3377', 'long': '-120.8589'};Canada;British Columbia;1790.0;437.0;25.0;4.0;19.0;400.0;4186242981
Donner Ski Ranch;https://www.donnerskiranch.com/;{'lat': '39.3181', 'long': '-120.3305'};USA;California;2371.0;229.0;52.0;6.0;52.0;600.0;2861457441
Krinnenalpe;https://www.lifte-nesselwaengle.at/;{'lat': '47.4853', 'long': '10.5972'};Austria;Reutte;1671.0;521.0;13.0;6.0;3.0;150.0;1427954775
Hohentauern;https://www.ski-hohentauern.at/;{'lat': '47.4320', 'long': '14.4660'};Austria;Bezirk Murtal;1700.0;470.0;11.0;4.0;3.0;150.0;6755911798
Bagolino;https://bagolinoinfo.it/inverno-a-bagolino/;{'lat': '45.8148', 'long': '10.4617'};Italy;Lombardy;2185.0;685.0;15.0;6.0;3.0;150.0;9943863518
Port Ainé;https://www.portaine.cat/;{'lat': '42.4371', 'long': '1.1591'};Spain;Lleida;2421.0;743.0;27.0;6.0;26.0;200.0;8481620029
Hochhäderich;http://www.alpenarena.com;{'lat': '47.5237', 'long': '10.0116'};Austria;Bregenz;1600.0;350.0;10.0;5.0;3.0;300.0;5316888536
Tsunan;https://www.skiresort.info/ski-resort/tsunan/;{'lat': '37.0331', 'long': '138.6503'};Japan;Niigata Prefecture;708.0;256.0;5.0;2.0;3.0;500.0;8112225794
Boyne Mountain;https://www.boynemountain.com/;{'lat': '45.1644', 'long': '-84.9307'};USA;Michigan;341.0;152.0;14.0;10.0;3.0;330.0;1489450030
Rienz – Toblach;https://www.ski-rienza.it/;{'lat': '46.7353', 'long': '12.2266'};Italy;Trentino-Alto Adige;1410.0;210.0;3.9;3.0;3.0;350.0;3465669710
Santa Present Park;http://www.santapresentpark.com/;{'lat': '43.8543', 'long': '143.9565'};Japan;Hokkaido;321.0;157.0;7.0;5.0;6.0;600.0;4496510572
Minakami Okutone;https://okutone.jp/;{'lat': '36.8106', 'long': '138.9922'};Japan;Gunma Prefecture;1080.0;530.0;6.0;7.0;3.0;200.0;4055199344
Campitello Matese;https://matese.ski/;{'lat': '41.4820', 'long': '14.4226'};Italy;Molise;1872.0;455.0;20.0;5.0;3.0;250.0;1405367579
Métabief;https://www.station-metabief.com/;{'lat': '46.7670', 'long': '6.3510'};France;Doubs;1463.0;463.0;40.0;17.0;3.0;200.0;1968025056
Alpe del Nevegal;https://www.nevegal2021.it/;{'lat': '46.0976', 'long': '12.3015'};Italy;Veneto;1675.0;625.0;5.0;3.0;3.0;230.0;9015293623
Ashibetsu;https://www.skiresort.info/ski-resort/ashibetsu/;{'lat': '43.5118', 'long': '142.1788'};Japan;Hokkaido;250.0;160.0;3.8;3.0;3.0;550.0;7200298073
Höglekardalen;https://hoglekardalen.com/;{'lat': '63.1061', 'long': '13.6194'};Sweden;Jämtland;780.0;185.0;2.0;2.0;2.0;250.0;1527226740
TschentenAlp;https://www.tschentenalp.ch/;{'lat': '46.493056', 'long': '7.560833'};Switzerland;Bern;1950.0;583.0;10.0;4.0;3.0;300.0;1087712359
Ontake;https://ontakeskijo.com/;{'lat': '35.8890', 'long': '137.4770'};Japan;Nagano Prefecture;2240.0;560.0;14.0;6.0;3.0;400.0;8765579427
Marbach – Marbachegg;https://www.marbachegg.ch/;{'lat': '46.8969', 'long': '7.8847'};Switzerland;Lucerne;1474.0;589.0;7.0;5.0;3.0;300.0;3291173401
Monte Pora;https://www.montepora.com/;{'lat': '45.8840', 'long': '9.9910'};Italy;Lombardy;1880.0;493.0;15.8;8.0;16.0;200.0;7469470080
Ani – Mt. Moriyoshi;http://www.aniski.jp/;{'lat': '40.0268', 'long': '140.5807'};Japan;Akita Prefecture;1210.0;667.0;7.6;3.0;3.0;400.0;4809232110
Stavadalen Skisenter;https://www.stavedalen.no/;{'lat': '60.8421', 'long': '9.5896'};Norway;Innlandet;1000.0;200.0;2.0;1.0;4.0;300.0;7837942121
Norikura;https://www.brnorikura.jp/;{'lat': '36.1146', 'long': '137.6615'};Japan;Nagano Prefecture;2000.0;500.0;14.0;10.0;13.0;300.0;3445173139
Niederhorn;https://www.niederhorn.ch/;{'lat': '46.6983', 'long': '7.7805'};Switzerland;Bern;1945.0;818.0;5.0;3.0;3.0;150.0;7702294917
Yabuhara Kogen;https://www.yabuhara-kogen.jp/;{'lat': '35.8841', 'long': '137.8150'};Japan;Nagano Prefecture;1689.0;589.0;10.0;6.0;10.0;350.0;2453828251
Karwendel Bergbahn - Zwölferkopf;https://www.karwendel-bergbahn.at/;{'lat': '47.4400', 'long': '11.6983'};Austria;Schwaz;1560.0;600.0;12.0;5.0;2.0;300.0;4551847188
Mt. Baldy;https://mtbaldyresort.com/;{'lat': '34.2361', 'long': '-117.6586'};USA;California;2620.0;643.0;20.0;4.0;20.0;300.0;4324391275
Tschappina/Urmein;https://www.skilifte-tschappina.ch/;{'lat': '46.7036', 'long': '9.3624'};Switzerland;Graubünden;2180.0;600.0;25.0;7.0;3.0;300.0;5304294506
Drammen;https://skimore.no/drammen/;{'lat': '59.7370', 'long': '10.2089'};Norway;Viken;350.0;280.0;4.0;3.0;3.0;150.0;6735066514
Mt. Norquay;https://banffnorquay.com;{'lat': '51.2073', 'long': '-115.5941'};Canada;Alberta;2017.0;402.0;30.0;5.0;43.0;250.0;8615346103
Lemonsjø Alpinsenter;https://lemonsjo-alpinsenter.no/;{'lat': '61.7998', 'long': '9.2546'};Norway;Innlandet;1200.0;360.0;10.0;1.0;3.0;200.0;1054232987
Shimokura Area;https://www.hachimantai.co.jp/;{'lat': '39.9443', 'long': '140.9667'};Japan;Iwate Prefecture;1130.0;550.0;7.0;3.0;3.0;300.0;6121798205
Klippitztörl;https://www.klippitz.at/;{'lat': '46.9453', 'long': '14.6664'};Austria;Wolfsberg;1818.0;358.0;28.0;6.0;3.0;200.0;3314300597
Sun Alpina Sanosaka;https://www.sanosaka.jp/;{'lat': '36.6622', 'long': '137.8324'};Japan;Nagano Prefecture;1200.0;460.0;10.0;5.0;10.0;400.0;5422111589
Eaglecrest;https://skieaglecrest.com/;{'lat': '58.3783', 'long': '-134.5767'};USA;Alaska;820.0;470.0;17.0;4.0;3.0;650.0;4580221139
Oberaudorf-Hocheck;https://www.hocheck.com/;{'lat': '47.6444', 'long': '12.1753'};Germany;Rosenheim;900.0;424.0;8.0;5.0;8.0;150.0;8495755329
Kasurila;https://kasurila.com/;{'lat': '63.0833', 'long': '27.6667'};Finland;Kuopio;189.0;91.0;4.0;5.0;7.0;400.0;7523624080
Messilä;https://messila.fi/;{'lat': '60.9583', 'long': '25.4746'};Finland;Päijät-Häme;191.0;107.0;5.7;9.0;5.0;100.0;4116892784
Unterberg;https://www.schigebiet-unterberg.at/;{'lat': '47.9400', 'long': '15.9030'};Austria;Bezirk Wiener Neustadt-Land;1324.0;614.0;16.0;5.0;3.0;200.0;4796031641
Tahoe Donner;https://www.tahoedonner.com/;{'lat': '39.3541', 'long': '-120.2711'};USA;California;2240.0;183.0;14.0;2.0;2.0;650.0;2410782573
Lagorai/Passo Brocon – Castello Tesino;https://www.skilagorai.it/;{'lat': '46.1244', 'long': '11.5977'};Italy;Trentino-Alto Adige (Trentino-Südtirol);2050.0;452.0;10.0;4.0;8.0;250.0;1813749762
Mt. Hood Skibowl;https://www.skibowl.com/;{'lat': '45.3049', 'long': '-121.7644'};USA;Oregon;1510.0;390.0;65.0;9.0;65.0;300.0;9607871259
Dollar Mountain;https://www.sunvalley.com/;{'lat': '43.6808', 'long': '-114.3650'};USA;Idaho;2023.0;191.0;9.0;5.0;3.0;470.0;7757707385
Jeizinen Feselalp;https://www.gampel-bratsch-tourismus.ch/anlagen/skigebiet;{'lat': '46.3167', 'long': '7.7333'};Switzerland;Valais;2193.0;674.0;8.0;6.0;3.0;100.0;1637932293
Oku Kannabe;https://okukan.com/;{'lat': '35.3892', 'long': '134.6288'};Japan;Hyōgo Prefecture;940.0;580.0;13.0;7.0;3.0;250.0;7616729073
Storefjell;https://www.storefjell.no/;{'lat': '60.8128', 'long': '8.8280'};Norway;Viken;1149.0;209.0;10.0;3.0;3.0;200.0;8323321554
Megahira;http://www.megahira.co.jp/pc/index.html;{'lat': '34.3797', 'long': '132.1686'};Japan;Hiroshima Prefecture;1066.0;474.0;5.8;5.0;3.0;120.0;9019796989
Brunnalm/Hohe Veitsch;https://www.brunnalm-hoheveitsch.at/;{'lat': '47.6167', 'long': '15.5667'};Austria;Bruck-Mürzzuschlag;1450.0;386.0;10.5;6.0;6.0;200.0;9331835855
Muggenbrunn;https://www.skizentrum-muggenbrunn.de/;{'lat': '47.8741', 'long': '7.9077'};Germany;Lörrach;1243.0;263.0;5.0;7.0;5.0;150.0;5780385816
Kristberg;https://montafon.at/kristberg/de/schneezeit;{'lat': '47.0968', 'long': '9.9830'};Austria;Bludenz;1589.0;700.0;6.3;4.0;3.0;300.0;5664144119
Snow King Mountain;https://snowkingmountain.com/;{'lat': '43.473300', 'long': '-110.762400'};USA;Wyoming;2380.0;480.0;9.0;4.0;3.0;500.0;8236718120
Greenpia Tsunan;https://new-greenpia.com/;{'lat': '37.0328', 'long': '138.7643'};Japan;Niigata Prefecture;965.0;315.0;6.0;3.0;5.0;600.0;2556197959
Nekoma;https://www.nekoma.co.jp/;{'lat': '37.5712', 'long': '139.9485'};Japan;Fukushima Prefecture;1337.0;311.0;10.0;6.0;10.0;500.0;3458540540
Silvretta Bielerhöhe;https://www.silvretta-bielerhoehe.at/;{'lat': '46.9326', 'long': '10.0798'};Austria;Bludenz;2030.0;120.0;2.0;2.0;2.0;300.0;1868529297
Edolo;https://www.scicaiedolo.it/;{'lat': '46.169722', 'long': '10.296667'};Italy;Lombardy;1800.0;950.0;10.0;4.0;7.0;300.0;5188922818
Onikoube;http://www.onikoube.com;{'lat': '38.7983', 'long': '140.7181'};Japan;Miyagi Prefecture;1055.0;715.0;7.0;6.0;7.0;300.0;4366879312
Cogne;http://www.cogneturismo.it/;{'lat': '45.6021', 'long': '7.3553'};Italy;Aosta Valley;2267.0;677.0;8.0;4.0;3.0;250.0;1667620484
Snow Cruise Onze;http://onze.jp;{'lat': '43.1825', 'long': '141.2621'};Japan;Hokkaidō;307.0;202.0;5.0;2.0;3.0;600.0;8506906813
Häkäriinteet;http://www.hakarinteet.fi;{'lat': '62.3582', 'long': '26.3701'};Finland;Länsi-Suomen lääni;195.0;83.0;6.5;5.0;9.0;120.0;2278826597
Saint-Léger-les-Mélèzes;https://www.champsaur3gliss.com/;{'lat': '44.6511', 'long': '6.2011'};France;Hautes-Alpes;1982.0;722.0;24.0;8.0;3.0;300.0;1412110243
Sarn (Heinzenberg);https://www.viamala.ch/de/aktivitaeten/skilifte-und-sesselbahn-sarn-heinzenberg;{'lat': '46.7000', 'long': '9.4167'};Switzerland;Graubünden;2075.0;775.0;20.0;4.0;3.0;200.0;3049376652
Amden;https://www.amden-weesen.ch/;{'lat': '47.1488', 'long': '9.1381'};Switzerland;Canton of St. Gallen;1684.0;753.0;17.0;6.0;3.0;150.0;4972316614
Mijoux/La Faucille;https://www.paysdegex-montsjura.com/;{'lat': '46.3376', 'long': '5.9573'};France;Ain;1533.0;533.0;15.0;6.0;3.0;200.0;5165212326
Mittagbahn;https://www.mittagbahn.de/;{'lat': '47.5553', 'long': '10.2203'};Germany;Oberallgäu;1416.0;666.0;9.0;2.0;9.0;150.0;5913834485
Ådneram Skitrekk;https://www.aadneram-skitrekk.no/;{'lat': '58.8547', 'long': '6.9460'};Norway;Agder;817.0;232.0;4.0;4.0;3.0;200.0;1800870568
Grouse Mountain;https://www.grousemountain.com/;{'lat': '49.3792', 'long': '-123.0828'};Canada;British Columbia;1250.0;400.0;33.0;7.0;43.0;300.0;7370573694
Bjursås Ski Center;https://www.bjursas.com/;{'lat': '60.7525', 'long': '15.2994'};Sweden;Dalarna;394.0;180.0;12.0;7.0;12.0;200.0;2134255411
Meråker Alpinsenter;https://merakeralpinsenter.com/;{'lat': '63.4274', 'long': '11.7400'};Norway;Trøndelag;600.0;440.0;8.5;6.0;7.0;200.0;7605899162
Høgevarde;https://hogevarde.no/;{'lat': '60.4300', 'long': '9.7000'};Norway;Viken;980.0;183.0;1.9;4.0;3.0;200.0;7105914947
Jungholz;https://www.jungholz.de/;{'lat': '47.5588', 'long': '10.4347'};Austria;Reutte;1500.0;442.0;10.0;7.0;7.0;150.0;4868935926
Raulandsfjell;https://www.visitrauland.com/raulandsfjell/skisenter/alpint/;{'lat': '59.7357', 'long': '8.1462'};Norway;Vestfold og Telemark;1065.0;365.0;7.0;2.0;6.0;250.0;7787668885
Okuibuki;https://www.okuibuki.co.jp/;{'lat': '35.5321', 'long': '136.4034'};Japan;Shiga Prefecture;1250.0;550.0;7.0;9.0;9.0;200.0;1647853072
Heutal;https://www.natursport-heutal.at/;{'lat': '47.6685', 'long': '12.7543'};Austria;Zell am See;1531.0;561.0;11.0;4.0;3.0;250.0;2979647216
Nub's Nob;https://www.nubsnob.com/;{'lat': '45.4646', 'long': '-84.9319'};USA;Michigan;403.0;123.0;19.0;11.0;18.0;300.0;9471216249
Mount Seymour;https://mtseymour.ca/;{'lat': '49.3543', 'long': '-122.9405'};Canada;British Columbia;1265.0;330.0;23.0;4.0;23.0;400.0;3333540541
Kurobushi Kogen Snow Park Jangle Jungle;https://jxj.co.jp/;{'lat': '38.4111', 'long': '140.3417'};Japan;Yamagata Prefecture;1030.0;330.0;6.0;3.0;3.0;400.0;7718581749
Mt. Sunapee;https://www.mountsunapee.com/;{'lat': '43.3329', 'long': '-72.0806'};USA;New Hampshire;828.0;443.0;30.0;8.0;30.0;150.0;2410212705
Blomberg;https://www.der-blomberg.de/;{'lat': '47.7586', 'long': '11.5401'};Germany;Bad Tölz-Wolfratshausen;1236.0;533.0;4.0;1.0;1.0;120.0;1988277549
Mörlialp;https://www.moerlialp.ch/;{'lat': '46.8410', 'long': '8.1895'};Switzerland;Obwalden;1837.0;482.0;12.0;8.0;3.0;200.0;9338853931
Gavarnie/Gèdre;https://www.ski-gavarnie.com;{'lat': '42.7340', 'long': '-0.0100'};France;Hautes-Pyrénées;2282.0;462.0;32.0;7.0;3.0;250.0;3315441335
Haldigrat;https://www.haldigrat.ch/;{'lat': '46.8681', 'long': '8.4353'};Switzerland;Obwalden;1937.0;707.0;5.0;1.0;2.0;300.0;7524516197
Le Collet d'Allevard;https://www.lecollet.com/;{'lat': '45.3911', 'long': '6.0612'};France;Isère;2140.0;690.0;35.0;11.0;22.0;250.0;4889095782
Wolzenalp;https://wolzenalp.ch/;{'lat': '47.2079', 'long': '9.1683'};Switzerland;St. Gallen;1464.0;736.0;12.0;6.0;6.0;150.0;5751440838
Pilatus Tateshina;https://www.pilatus.jp/;{'lat': '36.0500', 'long': '138.2000'};Japan;Nagano Prefecture;2240.0;477.0;4.0;3.0;3.0;300.0;1832380866
Bogus Basin;https://bogusbasin.org/;{'lat': '43.7648', 'long': '-116.1015'};USA;Idaho;2311.0;544.0;50.0;7.0;30.0;250.0;2476708082
Iizuna Resort;https://iizunaresort.com/;{'lat': '36.6788', 'long': '138.1538'};Japan;Nagano Prefecture;1500.0;600.0;10.0;3.0;10.0;300.0;4840479454
Fujiten Resort;https://www.fujiten.net/;{'lat': '35.4519', 'long': '138.7417'};Japan;Yamanashi Prefecture;1500.0;215.0;7.0;4.0;3.0;300.0;8256824350
Geißenkopf;https://geisskopf.de/;{'lat': '48.949962', 'long': '13.088298'};Germany;Regen;1100.0;265.0;8.0;8.0;3.0;120.0;8061743255
Grandee Hatoriko;https://hatoriko.com/;{'lat': '37.6825', 'long': '140.1889'};Japan;Fukushima Prefecture;1280.0;330.0;10.0;4.0;8.0;400.0;5545872908
Sun Meadows;https://www.sunmeadows.co.jp/;{'lat': '35.9511', 'long': '138.3007'};Japan;Yamanashi Prefecture;1900.0;300.0;8.0;3.0;3.0;300.0;7279731251
Oeschinensee;https://www.oeschinensee.ch/;{'lat': '46.4986', 'long': '7.7157'};Switzerland;Bern;1730.0;530.0;13.0;6.0;4.0;150.0;5787485797
Monte Verena;https://www.skiverena.com/;{'lat': '45.8566', 'long': '11.4017'};Italy;Venetia (Veneto);2020.0;380.0;15.0;5.0;3.0;200.0;5967991796
Kaida Kogen Mia;https://miaski-resort.com/;{'lat': '35.9336', 'long': '137.6063'};Japan;Nagano Prefecture;2120.0;563.0;7.0;2.0;3.0;300.0;4436789517
Kujyumachi;https://www.kujyuski.co.jp/;{'lat': '32.8688', 'long': '131.1785'};Japan;Ōita Prefecture;1316.0;157.0;3.0;3.0;3.0;200.0;9803561107
Saint-Michel-de-Chaillol;http://www.champsaur3gliss.com;{'lat': '44.6986', 'long': '6.1383'};France;Hautes-Alpes;2000.0;550.0;13.0;8.0;3.0;400.0;8082205999
Naggler Alm;https://www.weissensee.com/;{'lat': '46.7201', 'long': '13.3215'};Austria;Spittal an der Drau;1324.0;394.0;6.0;5.0;3.0;150.0;5132663145
Sollifjellet;https://sollifjellet.no/;{'lat': '68.7986', 'long': '16.5614'};Norway;Troms;535.0;326.0;7.0;2.0;3.0;350.0;8376259251
Gassan;https://gassankk.co.jp/gassan/;{'lat': '38.3925', 'long': '140.1156'};Japan;Yamagata Prefecture;1670.0;435.0;10.0;3.0;2.0;200.0;8959197617
Jiminy Peak;https://www.jiminypeak.com/;{'lat': '42.557655', 'long': '-73.292499'};USA;Massachusetts;724.0;344.0;9.0;7.0;14.0;150.0;7252213760
Breimsbygda;https://www.breimsbygdaskisenter.no/;{'lat': '61.728', 'long': '6.492'};Norway;Vestland;850.0;230.0;4.0;4.0;2.0;400.0;3272682057
Hakusan Shiramine Onsen;http://www.city-hakusan.com/;{'lat': '36.0661', 'long': '136.5957'};Japan;Ishikawa Prefecture;900.0;400.0;4.0;3.0;3.0;300.0;3893383549
Böglerlift – Alpbach;https://www.skijuwel.com/;{'lat': '47.3997', 'long': '11.9452'};Austria;Kufstein;1040.0;55.0;0.3;1.0;1.0;150.0;2897108752
Kijimadaira;https://kijimadaira-ski.com/;{'lat': '36.8944', 'long': '138.4270'};Japan;Nagano Prefecture;865.0;386.0;7.2;5.0;7.0;300.0;9488027776
Moiwayama Ski Jo;https://www.rinyu.co.jp/moiwa/;{'lat': '43.0367', 'long': '141.2932'};Japan;Hokkaido;448.0;275.0;10.0;5.0;10.0;550.0;4623378731
Akitaken – Tazawako;https://www.tazawako-ski.com;{'lat': '39.7419', 'long': '140.7175'};Japan;Akita Prefecture;1186.0;608.0;20.0;6.0;3.0;300.0;5565308473
Jaun;https://www.jaun-bergbahnen.ch/;{'lat': '46.6098', 'long': '7.2844'};Switzerland;Fribourg;1571.0;548.0;20.0;4.0;3.0;150.0;5638714559
Katashina Kogen Resort;https://katashinakogen.co.jp/;{'lat': '36.7364', 'long': '139.2022'};Japan;Gunma Prefecture;1244.0;294.0;7.0;6.0;10.0;400.0;3528920475
Schwarzenbachlift;https://www.feldberg-erlebnis.de/winter/skigebiete/altglashuetten-1;{'lat': '47.8646', 'long': '8.1059'};Germany;Breisgau-Hochschwarzwald;1160.0;160.0;3.0;2.0;3.0;150.0;6322436133
Näsfjället;https://www.nasfjallet.se/;{'lat': '61.8500', 'long': '12.7333'};Sweden;Dalarna;890.0;190.0;10.0;2.0;10.0;200.0;9436538680
Chamois;https://www.cervinia.it/it/inverno/skirama-chamois;{'lat': '45.8316', 'long': '7.6206'};Italy;Aosta Valley;2498.0;686.0;8.0;5.0;8.0;300.0;5914630116
Weinebene;http://www.weinebene.at;{'lat': '46.8832', 'long': '14.9666'};Austria;Wolfsberg;1886.0;306.0;18.0;8.0;13.0;300.0;9516603287
Yamaboku;https://www.yamaboku.jp/;{'lat': '36.5814', 'long': '138.3556'};Japan;Nagano Prefecture;1774.0;274.0;8.0;3.0;3.0;450.0;2811382002
Owl's Head;https://owlshead.com/;{'lat': '45.0957', 'long': '-72.2140'};Canada;Quebec;753.0;540.0;24.0;5.0;20.0;400.0;9976615252
Hinterreit;https://www.ski-mariaalm.at/;{'lat': '47.4167', 'long': '12.8500'};Austria;Zell am See;1200.0;420.0;4.0;3.0;3.0;120.0;1867429093
Mont Sutton;https://montsutton.com/;{'lat': '45.1013', 'long': '-72.5828'};Canada;Quebec;840.0;440.0;20.0;9.0;20.0;400.0;8321640194
Doues;https://www.comune.ollomont.ao.it/;{'lat': '45.8333', 'long': '7.3000'};Italy;Aosta Valley (Valle d'Aosta);2000.0;500.0;3.5;1.0;1.0;350.0;7359931189
Mt. Spokane;https://www.mtspokane.com/;{'lat': '47.9210', 'long': '-117.1176'};USA;Washington;1795.0;610.0;26.0;7.0;26.0;400.0;4953663057
Boreal;https://www.rideboreal.com/;{'lat': '39.3380', 'long': '-120.3504'};USA;California;2357.0;162.0;20.0;6.0;18.0;800.0;2734457756
Kalpalinna;http://www.kalpalinna.fi;{'lat': '60.9374', 'long': '24.6015'};Finland;Kanta-Hämeen lääni;150.0;54.0;3.8;4.0;3.0;100.0;2779764021
Schwabenbergarena;https://www.schwabenbergarena.at/;{'lat': '47.5358', 'long': '15.2925'};Austria;Bruck-Mürzzuschlag;1250.0;450.0;12.0;4.0;3.0;150.0;4591003422
Hyper Bowl Tohachi;https://tohachi.jp/;{'lat': '35.3318', 'long': '134.8015'};Japan;Hyōgo Prefecture;1100.0;550.0;10.0;4.0;10.0;300.0;5801654531
Postalm;https://postalm.ski/;{'lat': '47.6530', 'long': '13.4639'};Austria;Hallein;1450.0;300.0;8.0;6.0;8.0;150.0;7314058620
Koralpe;https://www.koralpe-kaernten.at/;{'lat': '46.7743', 'long': '14.9196'};Austria;Wolfsberg;2070.0;420.0;18.0;5.0;3.0;200.0;6829734109
Star Spur Ryokufu Resort Hida Nagareha;https://hida-nagareha.com/;{'lat': '36.3261', 'long': '137.2241'};Japan;Gifu Prefecture;1359.0;610.0;8.0;7.0;8.0;300.0;8080792941
Vihti Ski Center;https://www.vihtiski.fi/;{'lat': '60.371', 'long': '24.291'};Finland;Uudenmaan lääni;120.0;70.0;3.8;10.0;10.0;100.0;3955007901
Mt. Bohemia;https://www.mtbohemia.com/;{'lat': '47.3942', 'long': '-88.1652'};USA;Michigan;445.0;255.0;13.0;2.0;13.0;640.0;8046169313
Niederalpl;https://www.niederalpl.at/;{'lat': '47.7012', 'long': '15.4189'};Austria;Bruck-Mürzzuschlag;1460.0;240.0;12.0;6.0;6.0;200.0;2616053538
Aizu Kogen Nango;http://www.nango-ski.com;{'lat': '37.1500', 'long': '139.9000'};Japan;Fukushima Prefecture;1000.0;490.0;10.0;4.0;3.0;400.0;1395875712
Ellivuori;https://ellivuori.fi/;{'lat': '61.4307', 'long': '23.0131'};Finland;Pirkanmaa;145.0;85.0;2.7;5.0;3.0;100.0;3889062158
Shirakabako Royal Hill;https://royalhill.co.jp/;{'lat': '36.0235', 'long': '138.2559'};Japan;Nagano Prefecture;1708.0;263.0;6.5;3.0;3.0;300.0;2423138531
Manba;https://www.manba-ski.jp/;{'lat': '35.344722', 'long': '134.518611'};Japan;Hyogo Prefecture;810.0;460.0;7.0;3.0;7.0;300.0;9322095162
Isaberg;https://www.isaberg.com/;{'lat': '57.4451', 'long': '13.6060'};Sweden;Jönköping;309.0;150.0;6.0;8.0;6.0;100.0;1860188940
Urabandai Kogen;https://www.urabandai-ski.jp/;{'lat': '37.6253', 'long': '140.105'};Japan;Fukushima Prefecture;1109.0;201.0;1.9;3.0;3.0;250.0;7976864368
Monte Catria;https://www.montecatria.com/;{'lat': '43.4717', 'long': '12.7076'};Italy;Marche;1478.0;906.0;12.0;3.0;3.0;150.0;8609082632
SNØ;https://snooslo.no/;{'lat': '59.9263', 'long': '10.9517'};Norway;Viken;250.0;80.0;1.0;2.0;3.0;200.0;1297223161
Méaudre;https://www.vercors-experience.com/autrans-meaudre-en-vercors.html;{'lat': '45.0614', 'long': '5.5289'};France;Isère;1600.0;588.0;18.0;10.0;10.0;400.0;4606200565
Borno;https://www.bornoskiarea.it/;{'lat': '45.9256', 'long': '10.3069'};Italy;Lombardy;1694.0;742.0;14.4;4.0;12.0;150.0;9333209499
Les Monts d'Olmes;https://www.montsdolmes.ski/;{'lat': '42.8561', 'long': '1.8295'};France;Ariège;1950.0;550.0;23.0;13.0;23.0;150.0;4421117855
Dalseter – Espedalen;https://www.dalseter.no/;{'lat': '61.5081', 'long': '9.7004'};Norway;Innlandet;930.0;140.0;0.8;1.0;1.0;200.0;6242291455
Corno alle Scale;https://www.cornoallescale.org;{'lat': '44.1732', 'long': '10.9028'};Italy;Emilia-Romagna;1945.0;527.0;14.0;6.0;14.0;250.0;9067672407
Madrid Snow Zone;https://snozonemadrid.com/;{'lat': '40.3500', 'long': '-3.8500'};Spain;Comunidad de Madrid;705.0;38.0;0.3;3.0;3.0;50.0;4456116611
Shirao;http://www.shirao.co.jp;{'lat': '36.6165', 'long': '137.1651'};Japan;Gifu Prefecture;1230.0;488.0;13.0;6.0;3.0;300.0;1530061598
Utah Olympic Park;https://utaholympiclegacy.org/;{'lat': '40.7321', 'long': '-111.5584'};USA;Utah;2483.0;365.0;1.9;5.0;3.0;500.0;1684108415
Holzhau;http://www.snowsports.de/;{'lat': '50.7425', 'long': '13.5708'};Germany;Mittelsachsen;740.0;130.0;2.8;3.0;3.0;75.0;2327284113
Storlien;https://www.storlienhogfjallshotell.se/;{'lat': '63.3103', 'long': '12.1019'};Sweden;Jämtland;791.0;191.0;15.0;9.0;15.0;200.0;3802548493
Puigmal;https://www.puigmal2900.com/;{'lat': '42.3958', 'long': '2.0578'};France;Pyrénées-Orientales;2545.0;710.0;20.0;4.0;10.0;150.0;5973728924
Galtis;https://galtis.se/;{'lat': '66.0021', 'long': '17.8916'};Sweden;Norrbotten;800.0;270.0;7.5;3.0;3.0;250.0;6553590669
Lurisia;https://www.lurisiamontepigna.com/;{'lat': '44.3381', 'long': '7.7543'};Italy;Piedmont;1734.0;920.0;17.0;5.0;17.0;150.0;7347931931
Sattel-Hochstuckli;https://www.sattel-hochstuckli.ch/;{'lat': '47.0840', 'long': '8.6363'};Switzerland;Canton of Schwyz;1491.0;691.0;3.0;6.0;3.0;200.0;6329821537
Imajyo 365;http://imajyo365.jp/;{'lat': '35.9625', 'long': '136.3194'};Japan;Fukui Prefecture;755.0;321.0;8.8;4.0;8.0;300.0;6396189871
Surnadal;https://surnadal-alpinsenter.no/;{'lat': '62.9752', 'long': '8.7280'};Norway;Møre og Romsdal;473.0;367.0;4.0;1.0;2.0;200.0;6787196461
Etna South;https://www.funiviaetna.com/;{'lat': '37.699', 'long': '15.003'};Italy;Province of Catania;2604.0;694.0;6.3;5.0;4.0;150.0;3713444769
Gaaler Lifte;https://gaalerlifte.at/;{'lat': '47.3119', 'long': '14.6100'};Austria;Bezirk Murtal;1230.0;370.0;8.0;3.0;3.0;150.0;3644502178
